"","Vpn.Nr","sz1_1","sz1_2","sz1_3","sz1_4","sz1_5","sz1_6","sz1_7","sz1_8","sz1_9","sz2_1","sz2_2","sz2_3","sz2_4","sz2_5","sz2_6","sz2_7","sz2_8","sz2_9","uni_1","uni_2","uni_3","uni_4","uni_5","uni_6","uni_7","bf_1","bf_2","bf_3","bf_4","bf_5","bf_6","bf_7","bf_8","bf_9","bf_10","bf_11","bf_12","bf_13","bf_14","bf_15","bf_16","bf_17","bf_18","bf_19","bf_20","int_stat","int_it","sw_stat","sw_r","lezu_1","lezu_2","lezu_3","lezu_4","lezu_5","prok_1","prok_2","prok_3","prok_4","prok_5","prok_6","prok_7","prok_8","prok_9","prok_10","berufswunsch","berufswunsch_sonst","nebenjob","abi","geschl","alter","groesse","anz.geschw","bland","erq_1","erq_2","erq_3","erq_4","erq_5","erq_6","erq_7","erq_8","erq_9","erq_10","ros_1","ros_2","ros_3","ros_4","ros_5","ros_6","ros_7","ros_8","ros_9","ros_10","uni_1.f","uni_2.f","uni_3.f","uni_4.f","uni_5.f","uni_6.f","uni_7.f","berufswunsch.f","nebenjob.f","geschl.f","bland.f","prok_2.r","prok_3.r","prok_5.r","prok_7.r","prok_8.r","ros_2.r","ros_5.r","ros_6.r","ros_8.r","ros_9.r","SZ1_INH","SZ1_BED","SZ1_BEL","SZ2_INH","SZ2_BED","SZ2_BEL","BF_EXT","BF_VER","BF_GEW","BF_NEU","BF_OFF","LEZU","PROK","REAP","SUPP","SW"
"110",110,5,4,1,4,2,1,5,2,2,5,2,1,5,2,1,5,2,2,1,2,2,2,2,2,2,4,5,5,4,4,5,4,5,4,5,4,2,4,4,4,4,5,5,4,5,3,3,4,4,6,5,6,6,7,3,2,1,2,3,2,3,4,3,2,4,NA,2,1.5,1,22,164,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","Forschung","nein","weiblich","ST",3,4,2,2,1,NA,NA,NA,NA,NA,4.66666666666667,2.66666666666667,1.33333333333333,5,2,1.33333333333333,4.25,4.75,4.5,3.75,4.25,6,2.4,NA,NA,NA
"111",111,4,2,1,5,1,1,5,1,2,5,2,1,5,2,1,5,2,2,1,2,2,1,2,2,2,4,5,5,3,4,4,5,5,3,3,5,3,4,3,5,4,5,3,4,4,3,3,3,3,7,7,7,6,6,1,3,4,2,3,1,3,3,2,1,3,NA,2,1.2,1,31,170,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","BW",2,1,2,2,2,NA,NA,NA,NA,NA,4.66666666666667,1.33333333333333,1.33333333333333,5,2,1.33333333333333,4,5,4.75,3.25,3.25,6.6,1.6,NA,NA,NA
"112",112,4,5,3,5,2,1,5,3,3,5,4,4,5,2,4,5,3,4,1,2,2,2,2,1,2,4,5,4,3,4,3,4,5,4,2,5,3,4,3,5,3,5,3,3,4,1,2,3,4,6,5,6,7,7,4,3,1,3,3,3,3,3,2,4,5,"noch nicht sicher",1,1.6,1,21,170,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","sonstiges","ja","weiblich","RP",2,4,2,2,2,NA,NA,NA,NA,NA,4.66666666666667,3.33333333333333,2.33333333333333,5,3,4,3.5,5,4.25,2.75,3.5,6.2,2.8,NA,NA,NA
"113",113,3,5,3,3,5,2,3,4,3,4,4,2,4,5,3,4,4,3,1,2,2,2,2,2,2,3,4,5,4,4,4,5,4,3,4,5,4,4,2,4,2,4,4,5,4,1,1,1,1,4,5,5,6,2,2,4,3,2,4,3,3,4,2,1,1,NA,1,1.6,1,18,182,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","ja","weiblich","RP",1,2,1,2,1,NA,NA,NA,NA,NA,3,4.66666666666667,2.66666666666667,4,4.33333333333333,2.66666666666667,3.25,4,4.75,4.25,3.25,4.4,1.7,NA,NA,NA
"114",114,4,3,3,4,2,3,4,2,3,4,3,4,3,3,4,4,2,4,1,1,2,2,2,1,1,3,4,3,4,2,3,3,5,3,4,4,2,4,3,5,2,5,3,5,2,3,5,3,4,4,5,4,3,2,3,1,1,4,2,3,1,2,4,2,1,NA,2,1.2,2,23,167,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","ja","ja","nein","nein","klinische Psychologie","nein","m‰nnlich","BW",4,4,3,4,3,NA,NA,NA,NA,NA,4,2.33333333333333,3,3.66666666666667,2.66666666666667,4,3,4.75,3,3.75,2.75,3.6,3.4,NA,NA,NA
"115",115,3,2,3,4,2,4,4,3,4,4,3,4,4,2,4,5,3,5,1,2,2,1,2,2,2,4,5,4,3,5,4,4,4,5,4,5,3,4,4,4,3,4,3,5,5,3,2,3,3,6,7,6,6,6,2,4,4,2,3,3,4,2,2,1,1,NA,2,1.6,1,18,165,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","weiblich","BW",1,1,2,1,3,NA,NA,NA,NA,NA,3.66666666666667,2.33333333333333,3.66666666666667,4.33333333333333,2.66666666666667,4.33333333333333,3.75,4.25,4.5,3.75,4.25,6.2,1.8,NA,NA,NA
"116",116,4,4,3,4,2,2,4,3,3,4,4,3,4,2,2,4,2,3,1,2,2,1,2,1,2,4,3,4,5,4,3,4,3,4,5,4,4,3,4,3,3,4,3,5,3,2,2,2,2,4,4,4,4,2,2,4,3,2,3,3,2,2,2,2,1,NA,1,2,1,26,160,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","ja","klinische Psychologie","ja","weiblich","BW",1,2,2,3,3,NA,NA,NA,NA,NA,4,3,2.66666666666667,4,2.66666666666667,2.66666666666667,3.25,3.25,3.75,4.75,3.75,3.6,2.2,NA,NA,NA
"117",117,5,2,1,5,2,2,5,3,3,5,2,2,5,2,2,5,3,3,1,2,2,2,2,2,2,5,5,4,5,5,4,4,4,4,5,4,4,4,3,4,3,5,4,4,4,3,2,3,2,6,7,6,6,5,2,3,3,2,3,2,3,4,2,4,1,NA,2,1.7,1,19,173,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","BE",2,2,2,2,1,NA,NA,NA,NA,NA,5,2.33333333333333,2,5,2.33333333333333,2.33333333333333,4,4.5,4,4.5,4,6,2.1,NA,NA,NA
"118",118,4,4,2,3,2,2,5,2,3,5,4,2,3,3,2,5,2,2,1,2,2,1,2,2,2,3,4,3,4,4,3,3,5,4,4,3,4,3,4,4,3,4,4,4,3,4,3,4,4,4,6,5,7,2,3,2,1,4,2,2,3,2,3,3,1,NA,2,1.5,2,22,180,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","m‰nnlich","BY",3,4,3,2,3,NA,NA,NA,NA,NA,4,2.66666666666667,2.33333333333333,4.33333333333333,3,2,3,4.25,3,4,4,4.8,3,NA,NA,NA
"119",119,5,4,1,5,2,1,4,4,2,5,4,1,4,2,1,4,2,1,2,2,2,2,2,2,2,5,5,3,5,4,4,4,5,3,5,5,2,4,4,4,3,5,3,3,4,2,1,3,1,5,7,6,5,6,2,4,1,2,3,1,4,4,3,1,1,NA,2,2.8,1,19,163,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ja","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","NW",1,4,2,1,1,NA,NA,NA,NA,NA,4.66666666666667,3.33333333333333,1.33333333333333,4.33333333333333,2.66666666666667,1,4,4.75,4,3.75,3.5,5.8,1.8,NA,NA,NA
"120",120,5,2,2,4,1,1,4,2,2,4,2,1,5,1,1,5,1,1,1,2,2,1,2,2,2,4,5,4,1,3,5,3,5,4,2,4,1,2,3,4,1,4,3,2,4,4,4,3,4,7,6,7,6,6,3,3,2,3,3,1,3,3,3,1,3,NA,1,1.5,2,18,175,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","ja","m‰nnlich","BW",2,3,2,2,2,NA,NA,NA,NA,NA,4.33333333333333,1.66666666666667,1.66666666666667,4.66666666666667,1.33333333333333,1,3,4.5,3.75,1.5,3.25,6.4,2.2,NA,NA,NA
"121",121,4,3,2,5,2,1,4,1,2,4,3,1,5,2,1,5,2,2,1,2,2,2,2,1,2,3,4,4,2,5,5,4,5,4,2,5,2,3,4,5,3,4,4,4,3,3,2,3,3,6,7,6,5,4,2,1,3,2,3,1,3,3,2,3,4,NA,2,1.6,1,21,172,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","Forschung","nein","weiblich","NW",4,2,2,2,2,NA,NA,NA,NA,NA,4.33333333333333,2,1.66666666666667,4.66666666666667,2.33333333333333,1.33333333333333,3.5,4.5,4,2.5,4.25,5.6,2.2,NA,NA,NA
"122",122,4,2,3,4,2,2,4,2,3,4,2,3,4,2,3,4,2,3,1,1,2,2,2,1,2,2,3,5,4,3,2,5,4,3,4,5,4,2,3,4,3,4,3,5,5,1,1,1,1,5,5,5,6,4,2,3,3,2,4,4,3,2,2,1,3,NA,2,2.4,1,23,161,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","ja","ja","nein","ja","Wirtschaftspsychologie","nein","weiblich","SL",2,2,1,2,3,NA,NA,NA,NA,NA,4,2,2.66666666666667,4,2,3,2.25,3.75,5,4.25,3,5,2.1,NA,NA,NA
"123",123,5,5,2,5,3,1,5,2,3,5,5,2,5,4,1,5,2,2,1,2,2,2,2,1,1,3,4,3,3,3,3,3,4,3,4,4,2,4,4,4,3,4,3,4,4,3,3,4,4,6,6,6,6,5,3,2,1,3,2,3,2,3,3,2,1,NA,1,1.2,1,19,165,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","klinische Psychologie","ja","weiblich","BW",3,4,3,3,2,NA,NA,NA,NA,NA,5,3.33333333333333,2,5,3.66666666666667,1.66666666666667,3.25,4,3.5,3.25,3.25,5.8,2.9,NA,NA,NA
"124",124,4,1,3,5,3,2,5,1,4,5,2,4,5,2,3,5,2,4,1,2,2,1,2,2,2,4,5,4,3,4,5,5,5,4,2,5,3,4,3,5,2,5,3,4,5,1,2,2,3,6,6,5,7,7,3,2,1,2,3,1,3,3,3,4,1,NA,2,2.1,1,19,160,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","weiblich","NW",3,4,2,2,2,NA,NA,NA,NA,NA,4.66666666666667,1.66666666666667,3,5,2,3.66666666666667,3.75,5,4.75,3,3.5,6.2,2.6,NA,NA,NA
"125",125,5,3,2,5,2,2,5,3,3,5,3,2,5,3,2,5,3,3,1,2,2,2,2,2,2,4,5,3,4,4,4,3,5,4,4,4,3,4,4,4,5,5,4,5,3,3,2,4,3,6,7,6,6,5,4,2,2,3,2,2,3,3,4,2,3,NA,2,1.3,1,22,162,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","SL",3,3,3,2,2,NA,NA,NA,NA,NA,5,2.66666666666667,2.33333333333333,5,3,2.33333333333333,4.25,4.75,3.25,4,4,6,2.8,NA,NA,NA
"126",126,4,5,2,4,4,1,5,5,2,4,5,2,4,4,1,5,4,2,1,2,2,2,2,1,1,3,4,4,4,5,3,4,4,5,4,3,5,4,5,5,4,4,5,3,3,1,1,4,4,6,6,6,6,3,4,3,1,3,2,3,2,2,4,3,3,NA,2,2.8,2,20,163,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","Wirtschaftspsychologie","nein","m‰nnlich","RP",2,4,3,3,3,NA,NA,NA,NA,NA,4.33333333333333,4.66666666666667,1.66666666666667,4.33333333333333,4.33333333333333,1.66666666666667,3.5,4.25,3.5,4,5,5.4,3.2,NA,NA,NA
"127",127,5,4,3,4,2,2,4,3,3,5,3,2,4,2,2,5,3,4,1,2,2,1,2,2,2,3,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,5,4,4,3,4,3,4,5,4,4,4,3,3,2,2,3,3,3,3,3,2,4,NA,2,1.4,1,24,165,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Forschung","nein","weiblich","BW",2,3,2,2,2,NA,NA,NA,NA,NA,4.33333333333333,3,2.66666666666667,4.66666666666667,2.66666666666667,2.66666666666667,3.5,4,4,3.75,4,4.2,2.4,NA,NA,NA
"128",128,5,1,1,5,1,1,4,1,1,3,1,1,4,1,3,4,1,4,1,2,2,2,2,2,2,5,5,3,2,4,4,3,5,4,3,4,4,4,4,4,4,5,4,5,3,2,2,2,1,4,3,4,6,2,2,1,1,3,3,3,1,3,3,1,1,NA,1,1.8,1,18,164,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","ja","weiblich","BW",4,4,2,4,2,NA,NA,NA,NA,NA,4.66666666666667,1,1,3.66666666666667,1,2.66666666666667,4.25,4.75,3.25,3.5,4,3.8,2.8,NA,NA,NA
"129",129,5,1,3,3,1,2,4,1,4,3,1,4,3,1,1,4,1,4,1,1,2,1,2,1,1,3,4,3,3,3,3,2,4,3,4,3,4,3,3,4,3,4,2,4,2,2,2,1,1,5,5,6,7,4,4,2,1,4,2,4,2,3,4,3,1,NA,2,2,1,19,160,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","nein","nein","klinische Psychologie","nein","weiblich","BW",3,4,3,3,2,NA,NA,NA,NA,NA,4,1,3,3.33333333333333,1,3,3,4,2.5,3.75,2.75,5.4,3.4,NA,NA,NA
"130",130,5,3,2,5,2,4,5,2,3,5,3,2,5,3,3,5,2,4,1,2,2,1,2,1,1,4,3,3,2,3,4,3,3,3,2,3,1,4,5,3,3,4,4,2,3,5,4,3,4,6,6,6,4,4,3,2,2,3,3,2,3,3,2,2,3,NA,1,2.2,1,19,175,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","nein","Wirtschaftspsychologie","ja","weiblich","NW",3,3,2,2,2,NA,NA,NA,NA,NA,5,2.33333333333333,3,5,2.66666666666667,3,3.75,3.25,3,1.75,3.75,5.2,2.4,NA,NA,NA
"131",131,5,2,1,5,1,1,4,2,1,4,2,1,5,1,1,5,2,2,1,1,2,1,2,2,2,3,4,4,4,4,5,4,4,4,5,4,4,5,2,4,5,4,2,4,4,2,1,4,3,6,6,6,7,4,2,4,3,2,4,1,3,3,2,1,1,NA,2,1.3,2,20,175,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","ja","ja","klinische Psychologie","nein","m‰nnlich","RP",1,2,1,2,2,NA,NA,NA,NA,NA,4.66666666666667,1.66666666666667,1,4.66666666666667,1.66666666666667,1.33333333333333,4.5,4,4,4.25,3,5.8,1.6,NA,NA,NA
"132",132,5,2,2,5,4,1,5,3,4,5,3,3,5,2,1,5,3,3,1,2,2,2,2,2,2,4,5,4,3,4,4,3,5,4,2,4,3,4,4,4,3,5,3,2,4,2,1,3,3,6,5,6,5,7,3,3,1,2,4,2,3,3,2,3,1,NA,1,1.6,1,19,185,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","ja","weiblich","SH",2,4,1,2,2,NA,NA,NA,NA,NA,5,3,2.33333333333333,5,2.66666666666667,2.33333333333333,3.75,4.75,3.75,2.5,3.75,5.8,2.3,NA,NA,NA
"133",133,5,4,2,4,5,2,5,1,3,5,4,1,4,4,2,5,1,2,1,2,2,1,2,2,2,4,5,3,5,3,4,4,3,4,5,4,5,4,2,4,5,4,2,4,4,5,5,5,5,3,3,3,5,5,2,4,4,2,3,3,4,2,2,2,4,NA,2,1.5,1,22,165,1,2,5,2,5,4,7,3,5,6,2,6,3,2,4,3,1,3,4,3,1,3,"nein","ja","ja","nein","ja","ja","ja","Forschung","nein","weiblich","BY",1,1,2,1,3,3,4,2,2,4,4.66666666666667,3.33333333333333,2.33333333333333,4.66666666666667,3,1.66666666666667,4.25,4,3.75,4.75,2.75,3.8,1.9,5.66666666666667,2.75,3.2
"134",134,4,4,1,4,2,2,5,3,3,4,4,2,5,3,2,5,3,3,1,2,2,2,2,1,1,1,2,3,3,3,1,3,4,3,3,3,3,1,3,4,2,3,3,4,3,3,4,4,5,2,2,1,3,4,4,1,2,4,1,3,1,2,4,4,3,NA,1,1.6,1,21,184,1,11,3,7,3,6,2,7,2,2,7,2,1,4,2,2,3,4,2,3,3,1,"nein","ja","ja","ja","ja","nein","nein","Wirtschaftspsychologie","ja","weiblich","RP",4,3,4,4,3,1,2,1,2,2,4.33333333333333,3,2,4.66666666666667,3.33333333333333,2.33333333333333,1.25,3.25,3,3.25,3,2.4,3.7,2.33333333333333,6.75,1.6
"135",135,4,1,1,5,1,1,5,4,2,5,1,2,5,1,3,5,2,2,1,2,2,2,2,1,2,5,4,4,3,4,4,3,3,4,2,4,2,4,3,4,5,5,5,3,4,2,1,2,1,6,6,6,4,6,4,4,2,3,2,1,2,3,3,1,3,NA,2,1.5,1,20,182,2,11,4,3,2,1,5,1,4,1,4,1,4,2,3,3,1,2,4,2,1,4,"nein","ja","ja","ja","ja","nein","ja","Wirtschaftspsychologie","nein","weiblich","RP",1,3,3,3,2,3,4,3,3,4,4.66666666666667,2,1.33333333333333,5,1.33333333333333,2.33333333333333,4.5,4,3.75,2.5,4,5.6,2.4,2.83333333333333,2.25,3.5
"136",136,4,3,3,4,4,2,4,2,4,4,2,4,4,4,2,4,2,2,1,2,2,1,2,2,2,2,3,3,5,2,2,3,3,2,5,4,2,2,2,2,2,2,2,5,2,3,4,3,3,2,5,2,3,2,2,2,2,2,2,2,3,2,2,2,1,NA,1,1.5,2,20,166,1,11,5,5,2,2,2,2,3,3,3,2,2,2,2,2,4,3,2,3,4,2,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","ja","m‰nnlich","RP",3,3,3,2,3,3,1,2,2,1,4,3,3,4,2.66666666666667,2.66666666666667,2,2.5,3,4.25,2,2.8,2.4,2.83333333333333,3,1.9
"137",137,4,3,4,4,2,1,4,2,3,4,4,3,4,3,2,4,2,3,1,2,2,1,2,2,2,3,3,5,3,4,3,5,4,4,3,4,4,3,4,3,2,4,4,4,4,2,3,3,3,5,6,5,6,4,3,3,3,2,4,3,2,2,3,3,3,NA,2,2,1,21,170,1,1,4,5,5,2,3,5,5,5,6,5,3,4,3,3,3,3,4,4,3,3,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","BW",2,2,1,3,3,1,2,2,1,2,4,2.33333333333333,2.66666666666667,4,3,2.66666666666667,2.75,3.5,4.5,3.5,4,5.2,2.5,4.5,4.5,2.4
"138",138,5,4,3,5,1,2,5,2,3,5,4,3,5,1,2,5,4,4,1,2,2,2,2,1,2,3,3,4,4,5,4,5,5,5,4,4,2,4,5,4,1,5,5,3,4,5,5,5,5,4,5,4,5,3,4,2,1,4,3,4,2,3,4,4,4,NA,2,1.6,1,20,178,1,11,5,7,6,4,5,6,5,6,7,6,3,2,3,3,2,2,3,3,2,2,"nein","ja","ja","ja","ja","nein","ja","Forschung","nein","weiblich","RP",3,4,2,3,2,3,3,3,2,3,5,2.33333333333333,2.66666666666667,5,3,3,3,4.25,4.25,3.25,5,4.2,3.4,5.5,6,2.8
"139",139,5,4,5,5,1,1,5,3,3,5,4,5,5,1,1,5,3,4,1,2,2,2,2,2,2,4,5,4,4,4,4,3,5,4,5,5,4,4,3,4,4,4,4,3,4,3,2,3,3,7,7,7,7,7,2,3,1,2,3,2,3,4,2,1,1,NA,2,3.2,1,22,165,1,11,5,2,6,1,4,6,5,3,6,5,4,1,3,3,1,1,3,1,1,3,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","RP",2,4,2,2,1,4,4,4,4,4,5,2.66666666666667,3,5,2.66666666666667,3.33333333333333,4,4.5,4,4,3.75,7,2,4.66666666666667,3.75,3.6
"140",140,2,3,2,4,2,1,4,2,4,4,4,2,4,1,2,4,2,3,1,1,2,2,2,2,2,2,3,3,2,3,3,3,4,3,1,5,2,3,4,4,2,4,3,4,3,2,2,3,3,6,7,7,7,7,2,3,3,3,3,2,3,3,1,1,5,"Evt. Sportpsychologie",2,2.5,2,27,168,1,11,2,6,5,2,4,6,3,2,5,5,4,1,4,3,1,1,4,1,1,4,"nein","nein","ja","ja","ja","ja","ja","sonstiges","nein","m‰nnlich","RP",2,2,2,2,2,4,4,4,4,4,3.33333333333333,2.33333333333333,2.33333333333333,4,2.33333333333333,2.33333333333333,2.5,3.75,3.5,2.25,3.25,6.8,1.9,3.5,4.75,3.9
"141",141,4,5,5,4,5,3,4,5,5,4,5,4,4,4,3,5,4,4,1,1,1,1,2,1,1,4,5,3,4,3,4,4,4,3,4,4,3,3,2,5,3,4,4,4,3,2,3,3,3,4,3,5,7,6,3,3,2,4,2,2,3,3,3,3,2,NA,1,1.9,1,19,166,2,10,5,2,5,1,5,2,5,5,2,5,3,3,3,3,1,3,3,4,2,3,"nein","nein","nein","nein","ja","nein","nein","p‰dagogische Psychologie","ja","weiblich","NW",2,3,3,2,2,2,4,2,1,3,4,5,4.33333333333333,4.33333333333333,4.33333333333333,3.66666666666667,3.5,4.5,3.5,3.75,3,5,2.7,5,1.75,2.7
"142",142,4,2,2,5,2,1,4,4,3,4,4,2,4,3,1,4,4,3,1,2,2,2,2,2,2,4,4,2,4,3,4,2,4,3,3,5,4,3,3,4,4,5,3,4,3,3,2,2,4,5,6,6,5,2,3,2,1,4,3,4,2,3,4,1,3,NA,2,1.6,1,20,186,3,10,1,4,6,7,5,3,6,4,5,4,3,2,3,2,2,3,4,3,3,2,"nein","ja","ja","ja","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","NW",3,4,2,3,2,3,3,2,2,2,4.33333333333333,2.66666666666667,2,4,3.66666666666667,2,3.75,4.25,3,3.75,3,4.8,3,4.33333333333333,4.75,2.6
"143",143,4,2,3,5,2,1,4,2,3,4,2,2,5,2,1,4,2,3,1,2,2,2,2,2,2,3,4,5,3,3,4,5,4,3,3,5,2,4,3,3,2,4,3,3,4,2,2,3,3,6,6,6,6,6,1,3,3,1,4,1,3,4,1,1,1,NA,2,2.4,1,21,173,2,10,5,3,5,2,4,4,5,5,5,5,3,1,4,4,1,1,4,1,1,3,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","NW",2,2,1,2,1,4,4,4,4,4,4.33333333333333,2,2.33333333333333,4.33333333333333,2,2,3.25,3.75,4.75,2.75,3,6,1.3,4.83333333333333,3.5,3.8
"144",144,4,5,1,4,3,1,5,3,1,5,4,2,4,3,1,5,3,2,1,2,2,2,2,2,2,3,5,5,5,4,3,5,5,4,5,5,4,4,3,4,3,5,4,5,5,1,1,1,1,5,7,5,6,4,2,3,4,3,3,2,3,3,2,3,3,NA,2,1.3,1,23,169,1,9,4,7,4,1,2,6,3,2,6,5,2,4,3,3,3,4,2,4,4,1,"nein","ja","ja","ja","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","NI",2,1,2,2,2,1,2,1,1,1,4.33333333333333,3.66666666666667,1,4.66666666666667,3.33333333333333,1.66666666666667,3.25,4.75,5,4.75,3.75,5.4,2.1,3.33333333333333,5,1.7
"145",145,5,4,3,4,2,3,5,2,4,5,5,3,4,2,4,5,4,4,1,2,2,2,2,1,1,2,4,3,4,4,2,4,4,4,3,4,2,3,3,4,1,4,3,2,5,2,2,2,2,6,5,6,5,6,4,3,1,3,2,2,3,3,2,3,1,NA,2,1.6,1,22,184,1,11,5,6,6,3,5,4,5,3,6,6,3,3,4,3,2,2,4,2,1,3,"nein","ja","ja","ja","ja","nein","nein","klinische Psychologie","nein","weiblich","RP",2,4,3,2,2,2,3,3,3,4,4.66666666666667,2.66666666666667,3.33333333333333,4.66666666666667,3.66666666666667,3.66666666666667,2,4,4,2.75,3.5,5.6,2.7,5,4.75,3.2
"146",146,5,2,3,5,3,2,5,3,2,5,3,4,5,4,3,5,2,4,1,1,2,2,2,2,2,4,3,4,4,3,3,4,4,3,4,5,4,4,2,2,4,4,3,4,4,3,1,2,1,5,6,5,6,4,3,4,2,2,4,3,3,1,3,2,1,NA,2,2.6,1,23,177,1,10,3,5,3,2,4,5,3,4,6,3,3,2,3,2,3,2,4,2,2,3,"nein","nein","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","NW",1,3,1,2,4,3,2,3,3,3,5,2.66666666666667,2.33333333333333,5,3,3.66666666666667,3.75,3.25,4.25,4,2.75,5.2,2.4,3.33333333333333,4.5,2.9
"147",147,5,1,2,4,2,1,5,2,1,4,1,5,3,3,2,5,2,3,1,1,2,1,2,1,1,3,4,4,5,3,3,4,4,3,5,5,4,3,4,5,4,4,4,5,4,3,1,3,2,5,4,4,6,1,3,4,2,4,3,2,3,3,3,1,1,NA,1,1.5,1,22,165,1,7,2,3,5,3,3,5,3,5,3,5,2,3,3,3,2,3,3,4,1,3,"nein","nein","ja","nein","ja","nein","nein","klinische Psychologie","ja","weiblich","HE",1,3,2,2,2,2,3,2,1,4,4.66666666666667,1.66666666666667,1.33333333333333,4,2,3.33333333333333,3.25,4.25,4.25,4.75,3.5,4,2.3,3.83333333333333,3.5,2.6
